ward,target
21001001: Ward 1,18.788866751352167
21001002: Ward 2,12.943115043606443
21001003: Ward 3,21.49080483135164
21001004: Ward 4,17.528786539153526
21001005: Ward 5,21.79114033700707
21001006: Ward 6,24.11551278775423
21001007: Ward 7,14.444463208828306
21002001: Ward 1,18.961528831104822
21002002: Ward 2,17.4824938797559
21002003: Ward 3,22.142367615373722
21002004: Ward 4,20.98411525346061
21002005: Ward 5,17.474727512045416
21002006: Ward 6,18.713401216856994
21004001: Ward 1,15.544809821928098
21004002: Ward 2,22.943931527633296
21004003: Ward 3,17.087557396441355
21004004: Ward 4,13.352517677902483
21004005: Ward 5,24.00022246367458
21004006: Ward 6,20.024719565539762
21004007: Ward 7,25.35073235411566
21004008: Ward 8,15.860468437198401
21004009: Ward 9,22.748128422028703
21004010: Ward 10,21.570036240333614
21004011: Ward 11,26.27620306983734
21004012: Ward 12,14.25810888812139
21004013: Ward 13,20.754523688239114
21004014: Ward 14,20.095990073024407
21005001: Ward 1,28.436427636269343
21005002: Ward 2,17.722995471322907
21005003: Ward 3,20.26183382746415
21005004: Ward 4,18.137536183481497
21005005: Ward 5,20.582901573541314
21005006: Ward 6,16.888361433144194
21005007: Ward 7,27.080308250222696
21005008: Ward 8,25.52554701271803
21005009: Ward 9,24.613367089751005
21005010: Ward 10,8.312270751537884
21006001: Ward 1,22.33625178703981
21006002: Ward 2,19.2602004066694
21006003: Ward 3,19.045132294560783
21006004: Ward 4,23.111999887918138
21006005: Ward 5,24.480346813455377
21006006: Ward 6,19.659761209066186
21006007: Ward 7,13.57634322713741
21006008: Ward 8,20.17017160060112
21008001: Ward 1,14.892653764725846
21008002: Ward 2,17.769677029789353
21008003: Ward 3,6.594983078820246
21008004: Ward 4,18.65262854168145
21008005: Ward 5,17.562854967836124
21008006: Ward 6,25.26555044666116
21008007: Ward 7,15.950598332045308
21008008: Ward 8,7.222258581842723
21008009: Ward 9,19.538893634062845
21008010: Ward 10,20.986013117362916
21008011: Ward 11,7.417798933673407
21008012: Ward 12,13.515496364953268
21008013: Ward 13,16.77104089922721
21008014: Ward 14,15.472671533698778
21008015: Ward 15,17.14090375534352
21009001: Ward 1,19.51104216948455
21009002: Ward 2,14.152327669330072
21009003: Ward 3,18.589646787502414
21009004: Ward 4,14.940205094387352
21009005: Ward 5,18.27267452095535
21009006: Ward 6,16.828627731171984
21201001: Ward 1,26.01521527554454
21201002: Ward 2,35.55572475971558
21201003: Ward 3,39.036143686270705
21201004: Ward 4,40.278506337341284
21201005: Ward 5,39.38887628252316
21201006: Ward 6,39.286288030130734
21201007: Ward 7,41.4141662844782
21201008: Ward 8,39.970366412408865
21201009: Ward 9,34.48500270182217
21201010: Ward 10,36.32888782319765
21201011: Ward 11,40.259310105171025
21201012: Ward 12,40.281684216432936
21201013: Ward 13,34.189273499162326
21201014: Ward 14,42.52170324983477
21201015: Ward 15,41.641936270355494
21201016: Ward 16,42.55923317048348
21201017: Ward 17,41.691866660713934
21201018: Ward 18,42.794413370428174
21201019: Ward 19,38.68719807153769
21201020: Ward 20,41.94676958872233
21201021: Ward 21,37.627799053554995
21201022: Ward 22,42.168274350811956
21201023: Ward 23,40.1455703811538
21201024: Ward 24,35.685518478490806
21201025: Ward 25,29.46092699143656
21201026: Ward 26,43.20634699018445
21201027: Ward 27,35.21205093281099
21201028: Ward 28,38.493306387783136
21201029: Ward 29,36.25631475809916
21201030: Ward 30,36.641049530242164
21201031: Ward 31,40.93954360806557
21202001: Ward 1,22.737654183665676
21202002: Ward 2,28.184012486046164
21202003: Ward 3,28.969601241712923
21202004: Ward 4,25.766066369696397
21202005: Ward 5,30.94873259311131
21202006: Ward 6,30.617016936417464
21202007: Ward 7,33.47948717786319
21202008: Ward 8,37.22140245627562
21202009: Ward 9,33.36850479167384
21202010: Ward 10,37.256254602001675
21202011: Ward 11,35.60679366968871
21202012: Ward 12,36.93940183614527
21202013: Ward 13,34.89567918073751
21202014: Ward 14,36.85640843588147
21202015: Ward 15,38.458283294718704
21202016: Ward 16,34.37808680914005
21202017: Ward 17,37.312765583487824
21202018: Ward 18,33.82407046989165
21202019: Ward 19,37.10893335198002
21202020: Ward 20,37.06638420282051
21202021: Ward 21,37.49245377189603
21202022: Ward 22,39.38467685959802
21202023: Ward 23,39.06846740915812
21202024: Ward 24,38.96243925114737
21202025: Ward 25,40.22335015619662
21202026: Ward 26,39.54753578233548
21202027: Ward 27,36.74975709927544
21202028: Ward 28,37.0389398826175
21202029: Ward 29,36.934425148357356
21202030: Ward 30,35.332613781490984
21202031: Ward 31,38.14040332765437
21203001: Ward 1,20.222734768152296
21203002: Ward 2,35.69037051411429
21203003: Ward 3,31.72640707473558
21203004: Ward 4,32.99369300329162
21203005: Ward 5,26.375734552651245
21203006: Ward 6,18.48834037089975
21203007: Ward 7,22.082691416306062
21204001: Ward 1,32.594517251616914
21204002: Ward 2,26.83907474012965
21204003: Ward 3,35.25000859145815
21204004: Ward 4,22.509146137340622
21204005: Ward 5,28.251053497588096
21204006: Ward 6,23.092727911164392
21204007: Ward 7,35.38974252429768
21204008: Ward 8,35.44746180147048
21204009: Ward 9,27.538723186285324
21204010: Ward 10,30.33865236129727
21204011: Ward 11,32.608287399338266
21204012: Ward 12,37.59181300778086
21204013: Ward 13,30.81759908971883
21204014: Ward 14,27.157965457846444
21204015: Ward 15,30.00290602145308
21206001: Ward 1,30.955510216371145
21206002: Ward 2,30.492602920687357
21206003: Ward 3,32.62711129441725
21206004: Ward 4,32.599632748875116
21206005: Ward 5,32.19758070195677
21206006: Ward 6,30.26687448395644
21206007: Ward 7,25.328826473526515
21206008: Ward 8,29.921451923178246
21206009: Ward 9,31.143408794994855
21206010: Ward 10,24.367766734180698
21206011: Ward 11,28.395267854402277
21206012: Ward 12,28.885375041226304
21301001: Ward 1,25.3620850142852
21301002: Ward 2,22.761638796407276
21301003: Ward 3,24.396327058748067
21301004: Ward 4,20.84538017208934
21301005: Ward 5,8.88677508664653
21301006: Ward 6,18.89070387208066
21301007: Ward 7,22.287298727675967
21301008: Ward 8,18.424950243028256
21301009: Ward 9,19.589919808312523
21305001: Ward 1,37.67641911248827
21305002: Ward 2,33.82304714990733
21305003: Ward 3,38.11681767521816
21305004: Ward 4,32.72599962989308
21305005: Ward 5,39.5211820617749
21305006: Ward 6,37.299186112214535
21305007: Ward 7,38.58784326408207
21305008: Ward 8,31.104235400425875
21305009: Ward 9,38.582199231326534
21305010: Ward 10,35.714367265207116
21305011: Ward 11,41.7495467077229
21305012: Ward 12,38.33120049222648
21305013: Ward 13,35.905348079704964
21305014: Ward 14,26.776276220023135
21305015: Ward 15,30.850473399182853
21305016: Ward 16,39.92362663952957
21305017: Ward 17,35.298779735589065
21305018: Ward 18,39.39923879357508
21305019: Ward 19,37.15707680518945
21305020: Ward 20,38.74333558393058
21305021: Ward 21,40.230724338424274
21306001: Ward 1,36.62348317382676
21306002: Ward 2,37.84449970581194
21306003: Ward 3,34.75510312901195
21306004: Ward 4,31.302815851105663
21306005: Ward 5,35.643165424195445
21306006: Ward 6,35.55394105980882
21306007: Ward 7,37.809493167324696
21306008: Ward 8,36.632436912250036
21306009: Ward 9,39.02122750896272
21306010: Ward 10,38.460510577832665
