iter	RMSE
0	9.833942658
1	9.171441711
2	8.593727868
3	8.060096294
4	7.596816805
5	7.206768816
6	6.812882402
7	6.478889449
8	6.185218591
9	5.952672201
10	5.727404941
11	5.541519328
12	5.351401978
13	5.174718633
14	5.021369067
15	4.890511182
16	4.774024158
17	4.661745088
18	4.563704802
19	4.476002498
20	4.392336565
21	4.321046986
22	4.260550151
23	4.208203585
24	4.156501711
25	4.120899105
26	4.08718374
27	4.04483158
28	4.018877504
29	3.990376957
30	3.958539729
31	3.934177917
32	3.911931454
33	3.881266511
34	3.854711582
35	3.835189766
36	3.813332139
37	3.795111444
38	3.778160443
39	3.763902736
40	3.743345361
41	3.728583648
42	3.708426135
43	3.696953992
44	3.682014578
45	3.673193372
46	3.662464178
47	3.658208827
48	3.644993557
49	3.635180399
50	3.620599613
51	3.611899268
52	3.601598857
53	3.593031313
54	3.582276884
55	3.574183345
56	3.564674043
57	3.555941008
58	3.548270205
59	3.536823165
60	3.527420715
61	3.520358596
62	3.510580692
63	3.504817645
64	3.4997197
65	3.487477002
66	3.481678823
67	3.467688673
68	3.457958883
69	3.452934391
70	3.443578677
71	3.440958195
72	3.431435709
73	3.415476093
74	3.404679026
75	3.393591334
76	3.384079063
77	3.37723453
78	3.369800326
79	3.359630839
80	3.351157376
81	3.340834523
82	3.333445734
83	3.327490227
84	3.317925444
85	3.305453919
86	3.299147345
87	3.290084565
88	3.276353952
89	3.262502198
90	3.25747855
91	3.250324013
92	3.235283733
93	3.23110838
94	3.224115053
95	3.211690732
96	3.20225702
97	3.19614659
98	3.183444641
99	3.173740644
100	3.166409509
101	3.156073398
102	3.149960075
103	3.140948774
104	3.132154443
105	3.122649341
106	3.113715213
107	3.106883559
108	3.095353015
109	3.090127481
110	3.084302129
111	3.07269465
112	3.065099832
113	3.060128312
114	3.057945195
115	3.050075246
116	3.043959418
117	3.037173827
118	3.031023759
119	3.02223161
120	3.01351174
121	3.00639236
122	2.995608118
123	2.987072671
124	2.976543842
125	2.968981359
126	2.960253307
127	2.953968841
128	2.946810742
129	2.935535237
130	2.928096734
131	2.919627262
132	2.912980904
133	2.906151615
134	2.900195542
135	2.893693536
136	2.888899204
137	2.882391499
138	2.87562531
139	2.868610381
140	2.8618689
141	2.850350199
142	2.84593327
143	2.840099529
144	2.832546352
145	2.82530802
146	2.81797752
147	2.812113521
148	2.803770173
149	2.793772028
150	2.78791938
151	2.781468191
152	2.773345895
153	2.768020614
154	2.762470915
155	2.7530697
156	2.747021314
157	2.740083021
158	2.734725903
159	2.729846689
160	2.724398387
161	2.72015652
162	2.711346627
163	2.704267792
164	2.696083212
165	2.687885968
166	2.681276203
167	2.67328084
168	2.667974998
169	2.660959243
170	2.655704748
171	2.652142299
172	2.644588939
173	2.641980304
174	2.638022482
175	2.632138945
176	2.627874524
177	2.62128014
178	2.615293803
179	2.612014456
180	2.608373783
181	2.602765865
182	2.598586985
183	2.59271216
184	2.588611018
185	2.582626523
186	2.576513673
187	2.56987074
188	2.564526981
189	2.559304866
190	2.553717085
191	2.548646145
192	2.543649711
193	2.540975333
194	2.537200606
195	2.533662558
196	2.526982632
197	2.523240281
198	2.518448637
199	2.511832254
200	2.504447926
201	2.49835699
202	2.495985603
203	2.491729446
204	2.485445769
205	2.482037873
206	2.477137911
207	2.471244022
208	2.466977112
