iter	Passed	Remaining
0	3	2809
1	7	3078
2	10	2813
3	13	2727
4	16	2589
5	18	2499
6	23	2672
7	26	2663
8	29	2630
9	33	2653
10	37	2661
11	41	2743
12	44	2720
13	48	2696
14	51	2685
15	55	2719
16	58	2683
17	61	2679
18	64	2634
19	67	2627
20	71	2640
21	73	2605
22	76	2575
23	79	2566
24	82	2545
25	85	2541
26	88	2526
27	90	2504
28	93	2490
29	97	2510
30	102	2534
31	105	2537
32	109	2537
33	111	2518
34	114	2505
35	118	2523
36	121	2501
37	124	2491
38	128	2497
39	131	2493
40	135	2502
41	153	2779
42	158	2784
43	161	2771
44	166	2797
45	170	2796
46	173	2781
47	177	2776
48	181	2778
49	186	2791
50	189	2780
51	192	2775
52	198	2800
53	202	2793
54	205	2786
55	208	2775
56	213	2786
57	216	2775
58	220	2763
59	222	2749
60	225	2735
61	230	2741
62	233	2730
63	236	2717
64	239	2705
65	242	2700
66	246	2701
67	250	2691
68	253	2685
69	257	2684
70	263	2709
71	267	2702
72	270	2696
73	274	2690
74	278	2693
75	282	2688
76	285	2679
77	290	2685
78	295	2694
79	298	2687
80	306	2724
81	317	2781
82	322	2782
83	326	2784
84	330	2782
85	334	2775
86	337	2767
87	341	2761
88	344	2755
89	348	2751
90	351	2736
91	354	2726
92	358	2724
93	361	2713
94	363	2700
95	366	2690
96	369	2679
97	373	2673
98	377	2674
99	380	2666
100	384	2658
101	387	2650
102	390	2645
103	393	2636
104	396	2625
105	399	2616
106	402	2604
107	407	2609
108	410	2601
109	412	2589
110	415	2580
111	418	2568
112	422	2568
113	425	2558
114	427	2546
115	430	2538
116	433	2530
117	437	2526
118	439	2516
119	442	2508
120	445	2497
121	447	2486
122	450	2481
123	454	2478
124	457	2469
125	459	2459
126	463	2453
127	465	2444
128	469	2441
129	472	2435
130	475	2427
131	477	2417
132	481	2416
133	485	2413
134	488	2407
135	491	2401
136	494	2395
137	499	2395
138	502	2389
139	505	2384
140	509	2378
141	511	2370
142	514	2365
143	517	2359
144	520	2351
145	523	2346
146	526	2339
147	529	2333
148	532	2328
149	535	2319
150	538	2314
151	541	2309
152	544	2301
153	547	2298
154	550	2290
155	553	2284
156	556	2278
157	558	2270
158	562	2265
159	565	2260
160	567	2253
161	570	2246
162	573	2240
163	576	2237
164	580	2233
165	584	2231
166	586	2224
167	589	2216
168	591	2209
169	596	2210
170	600	2210
171	604	2207
172	607	2201
173	611	2201
174	615	2198
175	619	2196
176	622	2192
177	627	2191
178	632	2194
179	637	2196
180	642	2196
181	644	2189
182	647	2183
183	649	2175
184	652	2169
185	655	2163
186	659	2160
187	662	2155
188	664	2148
189	666	2141
190	669	2135
191	673	2132
192	676	2127
193	678	2120
194	681	2114
195	684	2108
196	687	2102
197	691	2101
198	694	2096
199	697	2091
200	700	2087
201	703	2081
202	706	2076
203	709	2071
204	711	2065
205	714	2060
206	717	2056
207	721	2053
208	724	2048
